"5280.98277,-0.23006"
"5280.01856,-0.22957"
"5279.05435,-0.22891"
"5278.09014,-0.22841"
"5277.12592,-0.22815"
"5276.16171,-0.22820"
"5275.19750,-0.22844"
"5274.23329,-0.22855"
"5273.26908,-0.22841"
"5272.30487,-0.22837"
"5271.34066,-0.22856"
"5270.37645,-0.22855"
"5269.41224,-0.22810"
"5268.44803,-0.22766"
"5267.48382,-0.22749"
"5266.51961,-0.22751"
"5265.55539,-0.22779"
"5264.59118,-0.22791"
"5263.62697,-0.22792"
"5262.66276,-0.22856"
"5261.69855,-0.22933"
"5260.73434,-0.22951"
"5259.77013,-0.22954"
"5258.80592,-0.22958"
"5257.84171,-0.22936"
"5256.87750,-0.22914"
"5255.91329,-0.22898"
"5254.94908,-0.22859"
"5253.98486,-0.22839"
"5253.02065,-0.22867"
"5252.05644,-0.22863"
"5251.09223,-0.22809"
"5250.12802,-0.22788"
"5249.16381,-0.22802"
"5248.19960,-0.22766"
"5247.23539,-0.22722"
"5246.27118,-0.22775"
"5245.30697,-0.22861"
"5244.34276,-0.22865"
"5243.37855,-0.22827"
"5242.41433,-0.22844"
"5241.45012,-0.22900"
"5240.48591,-0.22948"
"5239.52170,-0.22946"
"5238.55749,-0.22875"
"5237.59328,-0.22792"
"5236.62907,-0.22774"
"5235.66486,-0.22814"
"5234.70065,-0.22849"
"5233.73644,-0.22870"
"5232.77223,-0.22910"
"5231.80802,-0.22931"
"5230.84380,-0.22893"
"5229.87959,-0.22842"
"5228.91538,-0.22824"
"5227.95117,-0.22841"
"5226.98696,-0.22892"
"5226.02275,-0.22922"
"5225.05854,-0.22912"
"5224.09433,-0.22918"
"5223.13012,-0.22914"
"5222.16591,-0.22865"
"5221.20170,-0.22844"
"5220.23749,-0.22901"
"5219.27327,-0.22963"
"5218.30906,-0.22961"
"5217.34485,-0.22921"
"5216.38064,-0.22899"
"5215.41643,-0.22929"
"5214.45222,-0.22978"
"5213.48801,-0.22975"
"5212.52380,-0.22916"
"5211.55959,-0.22865"
"5210.59538,-0.22846"
"5209.63117,-0.22812"
"5208.66696,-0.22780"
"5207.70274,-0.22825"
"5206.73853,-0.22886"
"5205.77432,-0.22891"
"5204.81011,-0.22925"
"5203.84590,-0.23008"
"5202.88169,-0.23049"
"5201.91748,-0.23006"
"5200.95327,-0.22912"
"5199.98906,-0.22822"
"5199.02485,-0.22791"
"5198.06064,-0.22817"
"5197.09643,-0.22834"
"5196.13221,-0.22821"
"5195.16800,-0.22805"
"5194.20379,-0.22784"
"5193.23958,-0.22754"
"5192.27537,-0.22754"
"5191.31116,-0.22819"
"5190.34695,-0.22910"
"5189.38274,-0.22940"
"5188.41853,-0.22896"
"5187.45432,-0.22860"
"5186.49011,-0.22884"
"5185.52590,-0.22922"
"5184.56168,-0.22936"
"5183.59747,-0.22954"
"5182.63326,-0.22984"
"5181.66905,-0.22993"
"5180.70484,-0.22965"
"5179.74063,-0.22912"
"5178.77642,-0.22871"
"5177.81221,-0.22877"
"5176.84800,-0.22926"
"5175.88379,-0.22974"
"5174.91958,-0.22984"
"5173.95536,-0.22948"
"5172.99115,-0.22904"
"5172.02694,-0.22898"
"5171.06273,-0.22904"
"5170.09852,-0.22892"
"5169.13431,-0.22889"
"5168.17010,-0.22901"
"5167.20589,-0.22892"
"5166.24168,-0.22877"
"5165.27747,-0.22901"
"5164.31326,-0.22936"
"5163.34905,-0.22934"
"5162.38483,-0.22924"
"5161.42062,-0.22920"
"5160.45641,-0.22897"
"5159.49220,-0.22884"
"5158.52799,-0.22917"
"5157.56378,-0.22960"
"5156.59957,-0.22962"
"5155.63536,-0.22930"
"5154.67115,-0.22894"
"5153.70694,-0.22877"
"5152.74273,-0.22883"
"5151.77852,-0.22898"
"5150.81430,-0.22913"
"5149.85009,-0.22923"
"5148.88588,-0.22918"
"5147.92167,-0.22911"
"5146.95746,-0.22928"
"5145.99325,-0.22949"
"5145.02904,-0.22938"
"5144.06483,-0.22911"
"5143.10062,-0.22911"
"5142.13641,-0.22938"
"5141.17220,-0.22956"
"5140.20799,-0.22956"
"5139.24377,-0.22949"
"5138.27956,-0.22946"
"5137.31535,-0.22949"
"5136.35114,-0.22941"
"5135.38693,-0.22918"
"5134.42272,-0.22907"
"5133.45851,-0.22920"
"5132.49430,-0.22935"
"5131.53009,-0.22941"
"5130.56588,-0.22940"
"5129.60167,-0.22934"
"5128.63746,-0.22937"
"5127.67324,-0.22958"
"5126.70903,-0.22981"
"5125.74482,-0.22977"
"5124.78061,-0.22940"
"5123.81640,-0.22892"
"5122.85219,-0.22868"
"5121.88798,-0.22887"
"5120.92377,-0.22917"
"5119.95956,-0.22918"
"5118.99535,-0.22901"
"5118.03114,-0.22883"
"5117.06693,-0.22859"
