X;Y
1165,692;1375,08
1168,678;1373,42
1171,661;1361,42
1174,643;1361,75
1177,622;1368,42
1180,6;1375,42
1183,575;1360,75
1186,548;1373,42
1189,519;1361,75
1192,488;1362,42
1195,455;1367,08
1198,42;1366,42
1201,382;1368,75
1204,343;1366,42
1207,301;1367,08
1210,258;1369,42
1213,212;1362,08
1216,165;1363,42
1219,115;1360,75
1222,063;1363,42
1225,009;1356,42
1227,953;1349,75
1230,895;1369,42
1233,835;1359,75
1236,773;1355,75
1239,709;1355,75
1242,643;1361,75
1245,575;1351,42
1248,504;1363,08
1251,432;1359,42
1254,358;1375,08
1257,281;1372,75
1260,203;1377,08
1263,122;1379,42
1266,04;1394,75
1268,955;1399,75
1271,869;1396,75
1274,78;1382,75
1277,689;1361,75
1280,597;1357,75
1283,502;1344,42
1286,405;1343,75
1289,306;1344,42
1292,206;1341,75
1295,103;1345,08
1297,998;1347,42
1300,891;1342,42
1303,782;1337,42
1306,672;1345,08
1309,559;1340,42
1312,444;1348,42
1315,327;1357,42
1318,208;1358,08
1321,087;1376,42
1323,965;1404,75
1326,84;1427,08
1329,713;1444,75
1332,584;1429,42
1335,453;1438,42
1338,32;1464,08
1341,186;1490,75
1344,049;1509,42
1346,91;1474,08
1349,769;1449,08
1352,627;1408,42
1355,482;1399,08
1358,335;1386,42
1361,187;1379,75
1364,036;1394,42
1366,883;1398,75
1369,729;1411,08
1372,572;1399,42
1375,414;1396,42
1378,253;1387,42
1381,091;1374,75
1383,926;1381,08
1386,76;1370,75
1389,592;1364,42
1392,422;1356,75
1395,249;1349,75
1398,075;1357,75
1400,899;1352,08
1403,721;1346,08
1406,541;1352,75
1409,359;1347,75
1412,175;1350,75
1414,99;1345,08
1417,802;1347,42
1420,612;1345,75
1423,421;1365,08
1426,227;1352,75
1429,032;1354,08
1431,834;1352,08
1434,635;1359,08
1437,434;1346,42
1440,23;1348,42
1443,025;1362,42
1445,818;1355,42
1448,609;1365,75
1451,398;1380,75
1454,186;1410,75
1456,971;1426,75
1459,754;1416,08
1462,536;1402,42
1465,315;1362,42
1468,093;1366,42
1470,869;1359,08
1473,643;1355,42
1476,415;1359,08
1479,185;1358,08
1481,953;1351,08
1484,719;1354,42
1487,484;1349,42
1490,246;1353,08
1493,007;1355,42
1495,766;1349,42
1498,522;1344,42
1501,277;1343,75
1504,031;1342,75
1506,782;1345,08
1509,531;1347,08
1512,278;1343,42
1515,024;1347,08
1517,768;1348,42
1520,51;1354,08
1523,249;1348,75
1525,988;1346,42
1528,724;1347,08
1531,458;1338,42
1534,191;1351,75
1536,921;1349,08
1539,65;1350,42
1542,377;1346,08
1545,102;1349,42
1547,825;1346,75
1550,546;1350,42
1553,266;1349,42
1555,984;1346,08
1558,699;1345,75
1561,413;1350,42
1564,125;1357,42
1566,836;1347,08
1569,544;1348,08
1572,251;1345,08
1574,955;1349,42
1577,658;1348,75
1580,359;1342,75
1583,058;1343,75
1585,756;1347,42
1588,451;1340,08
1591,145;1349,42
1593,837;1349,75
1596,527;1341,75
1599,215;1343,42
