"X","Y"
"1132.711","529.67"
"1135.72","531"
"1138.726","535.67"
"1141.731","533"
"1144.734","531"
"1147.734","532.33"
"1150.732","543"
"1153.728","542"
"1156.723","556"
"1159.715","550.67"
"1162.704","537.67"
"1165.692","538.33"
"1168.678","530.33"
"1171.661","529.67"
"1174.643","535"
"1177.622","525"
"1180.6","528.33"
"1183.575","538"
"1186.548","538.67"
"1189.519","545.33"
"1192.488","555.67"
"1195.455","558.33"
"1198.42","575.33"
"1201.382","569.33"
"1204.343","563.67"
"1207.301","570.67"
"1210.258","557.33"
"1213.212","561"
"1216.165","549.33"
"1219.115","567"
"1222.063","563.67"
"1225.009","573.67"
"1227.953","557.67"
"1230.895","560.67"
"1233.835","556.67"
"1236.773","565"
"1239.709","569.67"
"1242.643","573.67"
"1245.575","577"
"1248.504","568.67"
"1251.432","553.67"
"1254.358","560"
"1257.281","581"
"1260.203","577"
"1263.122","576.67"
"1266.04","592"
"1268.955","595"
"1271.869","603"
"1274.78","611.67"
"1277.689","635.67"
"1280.597","647"
"1283.502","634.33"
"1286.405","645"
"1289.306","644.33"
"1292.206","648.33"
"1295.103","647"
"1297.998","639.67"
"1300.891","631.33"
"1303.782","619.67"
"1306.672","626.33"
"1309.559","619.67"
"1312.444","617.33"
"1315.327","632.33"
"1318.208","622.33"
"1321.087","613.33"
"1323.965","609"
"1326.84","614"
"1329.713","604.33"
"1332.584","605.67"
"1335.453","606.67"
"1338.32","603.33"
"1341.186","619.33"
"1344.049","608.33"
"1346.91","595"
"1349.769","604.67"
"1352.627","609"
"1355.482","606.33"
"1358.335","608.67"
"1361.187","604.33"
"1364.036","599.33"
"1366.883","581.67"
"1369.729","594.33"
"1372.572","584.67"
"1375.414","593"
"1378.253","590.33"
"1381.091","602.33"
"1383.926","597.67"
"1386.76","592.33"
"1389.592","619.33"
"1392.422","617"
"1395.249","621.33"
"1398.075","642.33"
"1400.899","637"
"1403.721","668"
"1406.541","653"
"1409.359","653.67"
"1412.175","638.33"
"1414.99","646"
"1417.802","621.33"
"1420.612","609.33"
"1423.421","606.33"
"1426.227","615"
"1429.032","594.67"
"1431.834","605.33"
"1434.635","616"
"1437.434","605.33"
"1440.23","596.67"
"1443.025","595.33"
"1445.818","585.33"
"1448.609","573.67"
"1451.398","568"
"1454.186","572.33"
"1456.971","551.67"
"1459.754","556.33"
"1462.536","554.33"
"1465.315","555"
"1468.093","560.33"
"1470.869","546.67"
"1473.643","538.33"
"1476.415","539.33"
"1479.185","547.33"
"1481.953","532.33"
"1484.719","527"
"1487.484","529"
"1490.246","538.33"
"1493.007","522.67"
"1495.766","535.33"
"1498.522","543.67"
"1501.277","555.67"
"1504.031","545.67"
"1506.782","549"
"1509.531","543.67"
"1512.278","530.33"
"1515.024","533"
"1517.768","528"
"1520.51","528.33"
"1523.249","517.33"
"1525.988","519.67"
"1528.724","518.33"
"1531.458","525.33"
"1534.191","515"
"1536.921","526"
"1539.65","516.33"
"1542.377","524.67"
"1545.102","517"
"1547.825","518.67"
"1550.546","516.67"
"1553.266","519.67"
"1555.984","527.33"
"1558.699","527.33"
"1561.413","518.33"
"1564.125","524.67"
"1566.836","524"
"1569.544","538"
"1572.251","525.67"
"1574.955","534.33"
"1577.658","543.33"
"1580.359","544.33"
"1583.058","540"
"1585.756","527.67"
"1588.451","529.67"
"1591.145","539.67"
"1593.837","545.67"
"1596.527","524.67"
"1599.215","522"
"1601.902","527"
"1604.586","530.67"
"1607.269","518"
"1609.95","516"
"1612.629","505"
"1615.307","512.33"
"1617.982","493.67"
"1620.656","498.33"
"1623.328","484"
"1625.998","500.33"
"1628.666","487.33"
"1631.333","477"
"1633.997","491"
"1636.66","484.33"
"1639.321","493.67"
"1641.981","480.67"
"1644.638","484"
"1647.294","485"
"1649.948","477.67"
"1652.6","474"
"1655.25","480.33"
"1657.899","475.33"
"1660.545","477.33"
"1663.19","479.33"
"1665.834","473.67"
"1668.475","475"
"1671.115","478"
"1673.752","482.33"
"1676.389","472"
"1679.023","476.33"
"1681.655","468.33"
"1684.286","486.67"
"1686.915","466.67"
"1689.542","455"
"1692.168","473.67"
"1694.791","451"
"1697.413","469.67"
"1700.033","465.67"
"1702.652","472"
"1705.269","458"
"1707.883","473.33"
"1710.497","461"
"1713.108","462.67"
"1715.717","468"
"1718.325","468.67"
"1720.931","465.67"
"1723.536","460"
"1726.138","457"
"1728.739","457.67"
"1731.338","463"
"1733.936","468.67"
"1736.531","472"
"1739.125","468.33"
"1741.718","454.67"
"1744.308","461"
"1746.897","471"
"1749.484","453.67"
"1752.069","457.33"
"1754.652","456.67"
"1757.234","463.33"
"1759.814","454"
"1762.392","461"
"1764.969","449.33"
"1767.544","457.33"
"1770.117","449.33"
