"Wavenumber","Intensity"
"-16.778","0.67"
"-12.919","0"
"-9.063","0.67"
"-5.209","0.67"
"-1.359","21"
"2.488","13"
"6.332","13.33"
"10.173","14.33"
"14.012","12.33"
"17.847","19.33"
"21.679","18.67"
"25.508","13.33"
"29.335","15.67"
"33.158","14.33"
"36.979","15"
"40.796","17"
"44.611","16"
"48.423","19"
"52.231","20.33"
"56.037","18.33"
"59.84","22"
"63.64","24.67"
"67.437","21.67"
"71.231","28.33"
"75.022","27.33"
"78.81","27.33"
"82.596","36.67"
"86.378","35.67"
"90.158","35.33"
"93.934","38"
"97.708","46"
"101.479","54.33"
"105.247","51"
"109.012","61.33"
"112.774","68"
"116.533","80.33"
"120.289","99"
"124.043","138.33"
"127.793","200.33"
"131.541","331.67"
"135.286","554.67"
"139.028","941"
"142.767","1579"
"146.503","2465.33"
"150.237","3681.67"
"153.967","4940.67"
"157.695","6035"
"161.42","6652.33"
"165.142","6823"
"168.861","6706.33"
"172.577","6474.67"
"176.291","6294.33"
"180.002","6155.33"
"183.709","6154.67"
"187.414","6212.33"
"191.117","6242.67"
"194.816","6351.33"
"198.512","6399.33"
"202.206","6601.67"
"205.897","6635.33"
"209.585","6766.67"
"213.27","6836.67"
"216.953","7006.67"
"220.633","7380"
"224.309","7697"
"227.984","7624.67"
"231.655","7337.67"
"235.323","6994"
"238.989","6840.67"
"242.652","6781.33"
"246.312","6797.67"
"249.97","6792"
"253.624","6592.33"
"257.276","6397"
"260.925","6201"
"264.571","6164.67"
"268.215","6150.33"
"271.856","6195"
"275.494","6209.33"
"279.129","6311.67"
"282.762","6401"
"286.391","6408.67"
"290.018","6419"
"293.643","6367"
"297.264","6242.33"
"300.883","6126.67"
"304.499","6034.33"
"308.112","5972.67"
"311.723","5908.67"
"315.331","5885"
"318.936","5782"
"322.538","5772.67"
"326.138","5749"
"329.735","5731.67"
"333.33","5787"
"336.921","5802"
"340.51","5825.33"
"344.096","5820.67"
"347.68","5956.67"
"351.261","6076.33"
"354.839","6316.33"
"358.414","6476"
"361.987","6400.67"
"365.557","6244"
"369.124","6341.67"
"372.689","6629"
"376.251","6614.33"
"379.81","6293.33"
"383.367","6039"
"386.921","6020"
"390.472","6203"
"394.021","6314.33"
"397.567","6252.33"
"401.11","6082"
"404.651","5996.33"
"408.189","5918.33"
"411.724","5880.33"
"415.257","5821"
"418.787","5785.33"
"422.315","5794"
"425.839","5706.33"
"429.362","5639.33"
"432.881","5584.67"
"436.398","5578.67"
"439.912","5591.33"
"443.424","5617.67"
"446.933","5639"
"450.439","5594"
"453.943","5625.33"
"457.444","5614.67"
"460.943","5662"
"464.439","5673.33"
"467.932","5678.67"
"471.423","5758.33"
"474.911","5955.67"
"478.397","5939.67"
"481.88","5841"
"485.36","5759.67"
"488.838","5673.33"
"492.313","5547"
"495.786","5444.67"
"499.256","5431"
"502.723","5397"
"506.188","5410.67"
"509.651","5406.67"
"513.11","5494.33"
"516.567","5625"
"520.022","5741.33"
"523.474","5830.67"
"526.924","6065.33"
"530.37","6311.33"
"533.815","6088"
"537.257","5586"
"540.696","5299.33"
"544.133","5130.67"
"547.567","5160"
"550.998","5106"
"554.428","5062.67"
"557.854","5093.33"
"561.278","5091.67"
"564.7","5075.33"
"568.119","5092.33"
"571.535","5059.33"
"574.949","5100"
"578.36","5077"
"581.769","5047.33"
"585.175","5019"
"588.579","4983.33"
"591.981","5004.33"
"595.379","5025"
"598.776","5001.67"
"602.17","4993.33"
"605.561","4923.33"
"608.95","4914"
"612.336","4877"
"615.72","4834.67"
"619.101","4886"
"622.48","4983"
"625.856","5221"
"629.23","5213"
"632.602","5040.67"
"635.971","4947"
"639.337","4928.33"
"642.701","4959.67"
"646.062","4986"
"649.421","5015.67"
"652.778","5039.33"
"656.132","5085.67"
"659.484","5037.33"
"662.833","4825"
"666.18","4696.67"
"669.524","4664"
"672.866","4713.67"
"676.205","4670.67"
"679.542","4661.33"
"682.877","4716.33"
"686.209","4755.33"
"689.538","4713.33"
"692.865","4757.67"
"696.19","5037"
"699.512","5702.33"
"702.832","6078"
"706.15","5555.33"
"709.465","4867.67"
"712.777","4725"
"716.087","4848"
"719.395","4986.33"
"722.701","4878"
"726.004","4590.33"
"729.304","4451.67"
"732.602","4381.67"
"735.898","4315.67"
"739.191","4389.33"
"742.482","4382"
"745.771","4425.67"
"749.057","4375.33"
"752.341","4381.67"
"755.622","4464.33"
"758.901","4470.67"
"762.177","4452.33"
"765.452","4517"
"768.723","4615.33"
"771.993","4714.33"
"775.26","4710.67"
"778.525","4649"
"781.787","4500"
"785.047","4425.67"
"788.304","4327.33"
"791.56","4229.33"
"794.812","4207.33"
"798.063","4215.33"
"801.311","4281.33"
"804.557","4506"
"807.8","4922.67"
"811.041","5104"
"814.28","4876"
"817.516","4537"
"820.751","4262.67"
"823.982","4134.67"
"827.212","3998.33"
"830.439","3971.33"
"833.663","3975.33"
"836.886","3962.67"
"840.106","4022.67"
"843.323","4117.33"
"846.539","4184"
"849.752","4289"
"852.963","4368"
"856.171","4360"
"859.377","4390.33"
"862.581","4416.67"
"865.782","4381.67"
"868.982","4231.33"
"872.179","4070.33"
"875.373","3895.33"
"878.565","3849"
"881.755","3825.33"
"884.943","3905.67"
"888.128","3958.33"
"891.311","3987"
"894.492","3894.67"
"897.671","3820"
"900.847","3702"
"904.021","3681.33"
"907.193","3695"
"910.362","3784.67"
"913.529","3923.67"
"916.694","4034.33"
"919.856","4012.67"
"923.017","3856.67"
"926.175","3790.67"
"929.331","3713.67"
"932.484","3763.33"
"935.635","3724.33"
"938.784","3720.67"
"941.931","3638.33"
"945.075","3650"
"948.218","3683"
"951.358","3777"
"954.495","3774.33"
"957.631","3736.33"
"960.764","3723.67"
"963.895","3781.33"
"967.024","3893.67"
"970.15","4147.67"
"973.274","4340.67"
"976.397","4624"
"979.516","5105.67"
"982.634","6099"
"985.749","7921"
"988.862","9466.33"
"991.973","9323.33"
"995.082","8910.33"
"998.188","10000.67"
"1001.293","10165.33"
"1004.395","7995.67"
"1007.495","5542.33"
"1010.592","4473.67"
"1013.688","4165"
"1016.781","4053.33"
"1019.872","3999.33"
"1022.961","3834.33"
"1026.047","3660"
"1029.132","3609.67"
"1032.214","3702.67"
"1035.294","3962"
"1038.372","4069.33"
"1041.448","3956.67"
"1044.521","3658"
"1047.592","3556.33"
"1050.661","3606.33"
"1053.728","4011.67"
"1056.793","4400"
"1059.856","4368.67"
"1062.916","3823"
"1065.974","3459.33"
"1069.03","3322"
"1072.084","3237.67"
"1075.136","3321.33"
"1078.186","3284.67"
"1081.233","3277.67"
"1084.278","3216"
"1087.321","3139.67"
"1090.362","3147.67"
"1093.401","3155.33"
"1096.438","3311.33"
"1099.472","3463.67"
"1102.505","3668.67"
"1105.535","3975.33"
"1108.563","4232.33"
"1111.589","4185.33"
"1114.613","4008.33"
"1117.634","3622"
"1120.654","3271"
"1123.671","3049.33"
"1126.687","3001.67"
"1129.7","3004.33"
"1132.711","3139"
"1135.72","3249"
"1138.726","3383"
"1141.731","3438"
"1144.734","3553.67"
"1147.734","3505.67"
"1150.732","3393"
"1153.728","3237.33"
"1156.723","3223.33"
"1159.715","3269"
"1162.704","3337.33"
"1165.692","3310.67"
"1168.678","3296"
"1171.661","3206.33"
"1174.643","3117.33"
"1177.622","3062"
"1180.6","3191"
"1183.575","3449.67"
"1186.548","3615"
"1189.519","3566.67"
"1192.488","3353"
"1195.455","3150.33"
"1198.42","3065"
"1201.382","3134"
"1204.343","3466.33"
"1207.301","4045.33"
"1210.258","4640"
"1213.212","4846"
"1216.165","4358.67"
"1219.115","3571.67"
"1222.063","3150"
"1225.009","2990.67"
"1227.953","2894"
"1230.895","2884.67"
"1233.835","2841.67"
"1236.773","2819.33"
"1239.709","2827.67"
"1242.643","2892"
"1245.575","3042.33"
"1248.504","3336"
"1251.432","3654.33"
"1254.358","3839.67"
"1257.281","3863"
"1260.203","3824"
"1263.122","3724.67"
"1266.04","3485.67"
"1268.955","3101.33"
"1271.869","2889.67"
"1274.78","2777.67"
"1277.689","2723.33"
"1280.597","2771.67"
"1283.502","2775.67"
"1286.405","2781"
"1289.306","2819"
"1292.206","2967.33"
"1295.103","3093.67"
"1297.998","3158.67"
"1300.891","3143"
"1303.782","3141.33"
"1306.672","3103.33"
"1309.559","3152"
"1312.444","3098.33"
"1315.327","3147.33"
"1318.208","3227"
"1321.087","3313"
"1323.965","3506.67"
"1326.84","3694.33"
"1329.713","3922.33"
"1332.584","4300.67"
"1335.453","4661.67"
"1338.32","5241"
"1341.186","6097"
"1344.049","7475.33"
"1346.91","9313.33"
"1349.769","11210.33"
"1352.627","12529.67"
"1355.482","13969.67"
"1358.335","16281.33"
"1361.187","18582"
"1364.036","18474.33"
"1366.883","15891.67"
"1369.729","12245"
"1372.572","9407.67"
"1375.414","7646"
"1378.253","6804.33"
"1381.091","6708"
"1383.926","7163"
"1386.76","7866"
"1389.592","8353"
"1392.422","7871.67"
"1395.249","6695"
"1398.075","5793.33"
"1400.899","5602.67"
"1403.721","5863"
"1406.541","6387.67"
"1409.359","7287.33"
"1412.175","8121.67"
"1414.99","8276.67"
"1417.802","7446.67"
"1420.612","6530.33"
"1423.421","6313"
"1426.227","6602.67"
"1429.032","6690"
"1431.834","6282"
"1434.635","5952"
"1437.434","6092"
"1440.23","6497.67"
"1443.025","7008.33"
"1445.818","7893.33"
"1448.609","8436.67"
"1451.398","7945.67"
"1454.186","6712"
"1456.971","5514.33"
"1459.754","4703.33"
"1462.536","4167.67"
"1465.315","3841.67"
"1468.093","3705.33"
"1470.869","3725.67"
"1473.643","3831"
"1476.415","4055"
"1479.185","4432.67"
"1481.953","4845.33"
"1484.719","5248"
"1487.484","5418.67"
"1490.246","5480.33"
"1493.007","5582.67"
"1495.766","6061.67"
"1498.522","6589.33"
"1501.277","6729"
"1504.031","6295.33"
"1506.782","5764"
"1509.531","5344.67"
"1512.278","5333"
"1515.024","5863.33"
"1517.768","7129.67"
"1520.51","8091.33"
"1523.249","8093.67"
"1525.988","7543.67"
"1528.724","6795.33"
"1531.458","5791.67"
"1534.191","4724.67"
"1536.921","3924"
"1539.65","3416.67"
"1542.377","3174.33"
"1545.102","3018"
"1547.825","2937.33"
"1550.546","2882"
"1553.266","2994"
"1555.984","3175.33"
"1558.699","3451"
"1561.413","3621.67"
"1564.125","3586.67"
"1566.836","3491"
"1569.544","3584.67"
"1572.251","3874"
"1574.955","4584.33"
"1577.658","5739"
"1580.359","6974.33"
"1583.058","7648.67"
"1585.756","7310.33"
"1588.451","6561"
"1591.145","5910"
"1593.837","5877"
"1596.527","6635"
"1599.215","8543.67"
"1601.902","11409.33"
"1604.586","14162.33"
"1607.269","15055"
"1609.95","13862.67"
"1612.629","12312.33"
"1615.307","11906.67"
"1617.982","11781.67"
"1620.656","10713.67"
"1623.328","8577.33"
"1625.998","6360"
"1628.666","4825.67"
"1631.333","3861.67"
"1633.997","3298.67"
"1636.66","2997"
"1639.321","2822.33"
"1641.981","2666.67"
"1644.638","2554.67"
"1647.294","2491"
"1649.948","2424.67"
"1652.6","2356.67"
"1655.25","2318.33"
"1657.899","2277.67"
"1660.545","2232"
"1663.19","2204.33"
"1665.834","2175.67"
"1668.475","2165.33"
"1671.115","2121.67"
"1673.752","2134"
"1676.389","2126"
"1679.023","2109"
"1681.655","2105"
"1684.286","2081.33"
"1686.915","2062"
"1689.542","2055.67"
"1692.168","2075.67"
"1694.791","2087"
"1697.413","2131"
